time_s,lat,lon,alt_m,phase
3450.0,35.67288,10.781521,20075.0,ascent
3460.0,35.672181,10.78182,20133.0,ascent
3470.0,35.671481,10.782212,20191.0,ascent
3480.0,35.670815,10.7825,20249.0,ascent
3490.0,35.670196,10.782766,20307.0,ascent
3500.0,35.669512,10.78301,20365.0,ascent
3510.0,35.66875,10.783273,20423.0,ascent
3520.0,35.668057,10.783492,20481.0,ascent
3530.0,35.667292,10.783771,20539.0,ascent
3540.0,35.666578,10.783944,20597.0,ascent
3550.0,35.665832,10.784109,20655.0,ascent
3560.0,35.665072,10.784263,20713.0,ascent
3570.0,35.66435,10.784432,20771.0,ascent
3580.0,35.663601,10.784657,20829.0,ascent
3590.0,35.662885,10.78477,20887.0,ascent
3600.0,35.662127,10.784964,20945.0,ascent
3610.0,35.661342,10.785041,21003.0,ascent
3620.0,35.660652,10.785218,21061.0,ascent
3630.0,35.659889,10.785254,21119.0,ascent
3640.0,35.659075,10.785316,21177.0,ascent
3650.0,35.658322,10.785456,21235.0,ascent
3660.0,35.657493,10.785532,21293.0,ascent
3670.0,35.656657,10.785611,21351.0,ascent
3680.0,35.655825,10.785657,21409.0,ascent
3690.0,35.654968,10.785657,21467.0,ascent
3700.0,35.654215,10.785795,21525.0,ascent
3710.0,35.65334,10.785747,21583.0,ascent
3720.0,35.65255,10.785847,21641.0,ascent
3730.0,35.651705,10.785789,21699.0,ascent
3740.0,35.650784,10.785737,21757.0,ascent
3750.0,35.64995,10.785753,21815.0,ascent
3760.0,35.649096,10.785724,21873.0,ascent
3770.0,35.648292,10.785562,21931.0,ascent
3780.0,35.64736,10.785415,21989.0,ascent
3790.0,35.646539,10.785289,22047.0,ascent
3800.0,35.645646,10.785162,22105.0,ascent
3810.0,35.644725,10.785006,22163.0,ascent
3820.0,35.643824,10.784839,22221.0,ascent
3830.0,35.642926,10.7848,22279.0,ascent
3840.0,35.64204,10.784678,22337.0,ascent
3850.0,35.641229,10.784434,22395.0,ascent
3860.0,35.640283,10.784154,22453.0,ascent
3870.0,35.639399,10.783879,22511.0,ascent
3880.0,35.638512,10.783658,22569.0,ascent
3890.0,35.637675,10.783426,22627.0,ascent
3900.0,35.636769,10.783263,22685.0,ascent
3910.0,35.635877,10.783016,22743.0,ascent
3920.0,35.634913,10.782669,22801.0,ascent
3930.0,35.634019,10.782373,22859.0,ascent
3940.0,35.633117,10.782089,22917.0,ascent
3950.0,35.632265,10.781803,22975.0,ascent
3960.0,35.631384,10.78156,23033.0,ascent
3970.0,35.630467,10.781187,23091.0,ascent
3980.0,35.629645,10.78087,23149.0,ascent
3990.0,35.628718,10.780417,23207.0,ascent
4000.0,35.627771,10.780009,23265.0,ascent
4010.0,35.626892,10.779686,23323.0,ascent
4020.0,35.625982,10.77924,23381.0,ascent
4030.0,35.625046,10.778714,23439.0,ascent
4040.0,35.62413,10.778343,23497.0,ascent
4050.0,35.623248,10.777875,23555.0,ascent
4060.0,35.622347,10.777436,23613.0,ascent
4070.0,35.621427,10.776966,23671.0,ascent
4080.0,35.620565,10.776456,23729.0,ascent
4090.0,35.619693,10.775929,23787.0,ascent
4100.0,35.618761,10.775449,23845.0,ascent
4110.0,35.617926,10.774828,23903.0,ascent
4120.0,35.617044,10.774407,23961.0,ascent
4130.0,35.616238,10.773873,24019.0,ascent
4140.0,35.615348,10.773277,24077.0,ascent
4150.0,35.614345,10.772788,24135.0,ascent
4160.0,35.613492,10.772053,24193.0,ascent
4170.0,35.612653,10.771461,24251.0,ascent
4180.0,35.611786,10.770869,24309.0,ascent
4190.0,35.610971,10.770122,24367.0,ascent
4200.0,35.610011,10.769382,24425.0,ascent
4210.0,35.609064,10.768599,24483.0,ascent
4220.0,35.608123,10.767812,24541.0,ascent
4230.0,35.607271,10.767042,24599.0,ascent
4240.0,35.606313,10.766108,24657.0,ascent
4250.0,35.605525,10.765309,24715.0,ascent
4260.0,35.604679,10.764558,24773.0,ascent
4270.0,35.6038,10.763712,24831.0,ascent
4280.0,35.602953,10.762877,24889.0,ascent
4290.0,35.602123,10.762001,24947.0,ascent
4300.0,35.601399,10.761198,25005.0,ascent
4310.0,35.600563,10.760453,25063.0,ascent
4320.0,35.599737,10.759579,25121.0,ascent
4330.0,35.598964,10.758686,25179.0,ascent
4340.0,35.598172,10.757876,25237.0,ascent
4350.0,35.597358,10.757005,25295.0,ascent
4360.0,35.59647,10.75614,25353.0,ascent
4370.0,35.595603,10.755185,25411.0,ascent
4380.0,35.594775,10.754445,25469.0,ascent
4390.0,35.593924,10.753521,25527.0,ascent
4400.0,35.593083,10.752581,25585.0,ascent
4410.0,35.592268,10.751564,25643.0,ascent
4420.0,35.591424,10.750715,25701.0,ascent
4430.0,35.590633,10.749779,25759.0,ascent
4440.0,35.589711,10.748759,25817.0,ascent
4450.0,35.588906,10.747975,25875.0,ascent
4460.0,35.588067,10.747043,25933.0,ascent
4470.0,35.587232,10.74605,25991.0,ascent
4480.0,35.586436,10.744988,26049.0,ascent
4490.0,35.585574,10.744038,26107.0,ascent
4500.0,35.584629,10.743062,26165.0,ascent
4510.0,35.583759,10.741984,26223.0,ascent
4520.0,35.582981,10.740848,26281.0,ascent
4530.0,35.582243,10.739707,26339.0,ascent
4540.0,35.581336,10.738711,26397.0,ascent
4550.0,35.580423,10.737678,26455.0,ascent
4560.0,35.579611,10.736599,26513.0,ascent
4570.0,35.578694,10.735494,26571.0,ascent
4580.0,35.577848,10.734254,26629.0,ascent
4590.0,35.576949,10.733013,26687.0,ascent
4600.0,35.575932,10.731913,26745.0,ascent
4610.0,35.57504,10.730831,26803.0,ascent
4620.0,35.574141,10.729697,26861.0,ascent
4630.0,35.573379,10.728439,26919.0,ascent
4640.0,35.572541,10.727248,26977.0,ascent
4650.0,35.571688,10.726068,27035.0,ascent
4660.0,35.570844,10.724844,27093.0,ascent
4670.0,35.570019,10.723471,27151.0,ascent
4680.0,35.56917,10.7222,27209.0,ascent
4690.0,35.568349,10.721046,27267.0,ascent
4700.0,35.567489,10.719699,27325.0,ascent
4710.0,35.566661,10.718387,27383.0,ascent
4720.0,35.565841,10.71703,27441.0,ascent
4730.0,35.564941,10.715762,27499.0,ascent
4740.0,35.563909,10.714641,27557.0,ascent
4750.0,35.562838,10.713556,27615.0,ascent
4760.0,35.562069,10.712344,27673.0,ascent
4770.0,35.561118,10.711071,27731.0,ascent
4780.0,35.56036,10.709726,27789.0,ascent
4790.0,35.559645,10.708314,27847.0,ascent
4800.0,35.558804,10.706949,27905.0,ascent
4810.0,35.557878,10.70548,27963.0,ascent
4820.0,35.557052,10.704191,28021.0,ascent
4830.0,35.556113,10.7029,28079.0,ascent
4840.0,35.55522,10.701576,28137.0,ascent
4850.0,35.554321,10.700116,28195.0,ascent
4860.0,35.553466,10.698737,28253.0,ascent
4870.0,35.552635,10.697273,28311.0,ascent
4880.0,35.55176,10.695976,28369.0,ascent
4890.0,35.550829,10.694485,28427.0,ascent
4900.0,35.550058,10.693119,28485.0,ascent
4910.0,35.549089,10.69172,28543.0,ascent
4920.0,35.548272,10.690196,28601.0,ascent
4930.0,35.547444,10.688657,28659.0,ascent
4940.0,35.546671,10.687257,28717.0,ascent
4950.0,35.545804,10.685807,28775.0,ascent
4960.0,35.545019,10.684153,28833.0,ascent
4970.0,35.54419,10.682423,28891.0,ascent
4980.0,35.543372,10.680883,28949.0,ascent
4990.0,35.542503,10.679276,29007.0,ascent
5000.0,35.54171,10.677671,29065.0,ascent
5010.0,35.540823,10.676154,29123.0,ascent
5020.0,35.540043,10.674582,29181.0,ascent
5030.0,35.539228,10.672981,29239.0,ascent
5040.0,35.538338,10.671355,29297.0,ascent
5050.0,35.537499,10.669669,29355.0,ascent
5060.0,35.536814,10.668086,29413.0,ascent
5070.0,35.535895,10.666593,29471.0,ascent
5080.0,35.535044,10.665096,29529.0,ascent
5090.0,35.534197,10.66346,29587.0,ascent
5100.0,35.53343,10.661799,29645.0,ascent
5110.0,35.532618,10.660086,29703.0,ascent
5120.0,35.531827,10.658341,29761.0,ascent
